Tweet content,date,prediction,Sentiment
452 CVE Records + their NVD CVSS scores when available in CISA’s Vulnerability Summary bulletin for the week of Dec… https://t.co/Vfww3Q2R9G,15/12/2021,1.0,Positive
"Minutes from the CVE Board teleconference meeting on December 8 are now available 
https://t.co/20lNHtsIsO  
 
#CVE… https://t.co/WOGQBwghX4",14/12/2021,1.0,Positive
"We Speak CVE Podcast episode 11 now available! 
“Enhancing CVE Records as an Authorized Data Publisher (ADP)”… https://t.co/0reW3jpv9L",14/12/2021,1.0,Positive
"Welcome to the CNA community @VulnScope! 
 
#CVE #Vulnerability #VulnerabilityManagement #Infosec #Cybersecurity… https://t.co/0U3yuXlttj",14/12/2021,0.0,Negative
CVE BLOG: “Our CVE Story: CERT@VDE” by Jochen Becker of CVE Numbering Authority (CNA) @CERTVDE… https://t.co/70zHdLpOSH,14/12/2021,1.0,Positive
Vulnscope is now a CVE Numbering Authority (CNA) assigning CVE IDs for @VulnScope bug bounty and vulnerability coor… https://t.co/QkVI5zDbmn,14/12/2021,1.0,Positive
Mirantis is now a CVE Numbering Authority (CNA) assigning CVE IDs for its own products + vulnerabilities in 3rd-par… https://t.co/VShUlYLWLh,14/12/2021,1.0,Positive
CISA creates vulnerability guidance webpage for the Apache Log4j vulnerability - CVE-2021-44228… https://t.co/IDjs7674hF,14/12/2021,1.0,Positive
264 CVE Records + their NVD CVSS scores when available in CISA’s Vulnerability Summary bulletin for the week of Nov… https://t.co/YjXy8XlsES,10/12/2021,1.0,Positive
"CVE-2021-44228 
 
https://t.co/9hgS9nWzGw",10/12/2021,1.0,Positive
"@devender456 @CVEnew Can you please provide the reference numbers? 
Email does remain the best method for checking… https://t.co/12E6Jqli9H",10/12/2021,1.0,Positive
"Welcome to the CNA community @profelisbilisim! 
 
#CVE #Vulnerability #VulnerabilityManagement #Infosec… https://t.co/IPJs8d5J2X",10/12/2021,0.0,Negative
"CVE Blog: “CVE Global Summit – Fall 2021” 
A collaborative community event focused on improving CVE… https://t.co/7bpEkZfiib",08/12/2021,0.0,Negative
"Welcome to the CNA community @TeamViewer! 
 
#CVE #Vulnerability #VulnerabilityManagement #Infosec #Cybersecurity… https://t.co/ypdbF0ZD3d",08/12/2021,1.0,Positive
TeamViewer is now a CVE Numbering Authority (CNA) assigning CVE IDs for @TeamViewer issues only… https://t.co/OGnVVHinSp,08/12/2021,0.0,Negative
